year,p_no,p_name,games,pa,team_of_pa_share,hr,bb,so,avg,obp,slg,ops,iso,bb_pct,k_pct,r,rbi,sb
2023,14587,최지훈,115,498.0,0.2633527234267583,2,29,50,0.26695842450765866,0.3142857142857143,0.3544857768052516,0.6687714910909659,0.08752735229759295,0.05823293172690763,0.10040160642570281,64,28.0,21.0
2023,15530,에레디아,110,470.0,0.24854574299312532,11,37,66,0.3215130023640662,0.3880597014925373,0.46099290780141844,0.8490526092939558,0.13947990543735223,0.07872340425531915,0.14042553191489363,66,69.0,11.0
2023,10815,한유섬,89,327.0,0.17292437863564253,6,27,67,0.2704626334519573,0.3507692307692308,0.37722419928825623,0.7279934300574871,0.10676156583629892,0.08256880733944955,0.20489296636085627,23,42.0,2.0
2023,14147,하재훈,65,217.0,0.11475409836065574,7,15,51,0.30927835051546393,0.3674418604651163,0.4742268041237113,0.8416686645888276,0.1649484536082474,0.06912442396313365,0.2350230414746544,34,35.0,10.0
2023,10108,김강민,37,110.0,0.05817028027498678,2,13,23,0.21505376344086022,0.3119266055045872,0.3118279569892473,0.6237545624938345,0.0967741935483871,0.11818181818181818,0.20909090909090908,15,4.0,2.0
2023,14888,추신수,25,109.0,0.05764145954521417,3,14,18,0.34065934065934067,0.44954128440366975,0.5274725274725275,0.9770138118761973,0.18681318681318682,0.12844036697247707,0.1651376146788991,18,14.0,2.0
2023,10249,오태곤,38,85.0,0.0449497620306716,1,6,22,0.13513513513513514,0.2261904761904762,0.22972972972972974,0.45592020592020593,0.0945945945945946,0.07058823529411765,0.25882352941176473,9,9.0,3.0
2023,13195,최상민,39,39.0,0.020624008461131677,0,4,6,0.24242424242424243,0.3157894736842105,0.24242424242424243,0.5582137161084529,0.0,0.10256410256410256,0.15384615384615385,4,3.0,1.0
2023,11148,강진성,10,20.0,0.010576414595452142,1,1,5,0.21052631578947367,0.25,0.3684210526315789,0.618421052631579,0.15789473684210525,0.05,0.25,3,2.0,0.0
2023,13194,이정범,6,14.0,0.007403490216816499,0,1,4,0.25,0.2857142857142857,0.25,0.5357142857142857,0.0,0.07142857142857142,0.2857142857142857,1,2.0,0.0
2023,15463,김정민,6,2.0,0.0010576414595452142,0,0,1,0.5,0.5,0.5,1.0,0.0,0.0,0.5,1,0.0,0.0
2024,14587,최지훈,119,535.0,0.2812828601472135,11,49,70,0.27253668763102723,0.34150943396226413,0.4171907756813417,0.7587002096436058,0.1446540880503145,0.09158878504672897,0.1308411214953271,88,48.0,32.0
2024,15530,에레디아,118,511.0,0.268664563617245,15,22,63,0.35394456289978676,0.38943248532289626,0.5138592750533049,0.9032917603762012,0.1599147121535181,0.043052837573385516,0.1232876712328767,69,93.0,4.0
2024,10815,한유섬,103,420.0,0.22082018927444794,16,31,106,0.23684210526315788,0.3031026252983294,0.43157894736842106,0.7346815726667504,0.19473684210526318,0.07380952380952381,0.2523809523809524,46,70.0,0.0
2024,14147,하재훈,93,303.0,0.15930599369085174,10,17,82,0.259927797833935,0.3023255813953488,0.4368231046931408,0.7391486860884896,0.1768953068592058,0.056105610561056105,0.2706270627062706,39,36.0,15.0
2024,10249,오태곤,24,65.0,0.0341745531019979,1,9,24,0.25925925925925924,0.359375,0.42592592592592593,0.7853009259259259,0.16666666666666669,0.13846153846153847,0.36923076923076925,12,7.0,5.0
2024,16043,정현승,20,29.0,0.015247108307045216,1,2,6,0.2222222222222222,0.27586206896551724,0.3333333333333333,0.6091954022988506,0.1111111111111111,0.06896551724137931,0.20689655172413793,1,4.0,1.0
2024,14888,추신수,6,20.0,0.010515247108307046,0,3,4,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0.15,0.2,6,1.0,2.0
2024,13195,최상민,36,13.0,0.006834910620399579,0,0,5,0.16666666666666666,0.23076923076923078,0.3333333333333333,0.5641025641025641,0.16666666666666666,0.0,0.38461538461538464,7,1.0,1.0
2024,11148,강진성,1,2.0,0.0010515247108307045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
2024,11351,,6,2.0,0.0010515247108307045,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,0.0,0.0
2024,14146,김창평,1,2.0,0.0010515247108307045,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2025,14587,최지훈,136,570.0,0.30727762803234504,7,43,87,0.2840466926070039,0.34275618374558303,0.3715953307392996,0.7143515144848827,0.08754863813229574,0.07543859649122807,0.15263157894736842,66,44.0,28.0
2025,15530,에레디아,86,375.0,0.20215633423180593,13,24,56,0.34492753623188405,0.392,0.5072463768115942,0.8992463768115943,0.1623188405797102,0.064,0.14933333333333335,43,51.0,1.0
2025,10815,한유섬,86,357.0,0.19245283018867926,9,32,81,0.273015873015873,0.351123595505618,0.41904761904761906,0.7701712145532371,0.14603174603174607,0.0896358543417367,0.226890756302521,39,49.0,1.0
2025,13128,최준우,51,149.0,0.0803234501347709,2,20,34,0.20833333333333334,0.3219178082191781,0.25833333333333336,0.5802511415525115,0.05000000000000002,0.1342281879194631,0.22818791946308725,11,18.0,2.0
2025,11153,김성욱,41,115.0,0.06199460916442048,2,7,28,0.2169811320754717,0.2719298245614035,0.330188679245283,0.6021185038066865,0.1132075471698113,0.06086956521739131,0.24347826086956523,10,13.0,1.0
2025,10249,오태곤,45,114.0,0.061455525606469004,2,18,38,0.18947368421052632,0.3185840707964602,0.28421052631578947,0.6027945971122497,0.09473684210526315,0.15789473684210525,0.3333333333333333,16,12.0,12.0
2025,14147,하재훈,17,56.0,0.03018867924528302,3,3,20,0.1346153846153846,0.17857142857142858,0.3076923076923077,0.4862637362637363,0.1730769230769231,0.05357142857142857,0.35714285714285715,5,8.0,1.0
2025,14153,채현우,35,52.0,0.028032345013477088,1,3,13,0.1875,0.23076923076923078,0.3125,0.5432692307692308,0.125,0.057692307692307696,0.25,8,9.0,2.0
2025,16390,맥브룸,9,33.0,0.01778975741239892,2,1,11,0.1875,0.21212121212121213,0.40625,0.6183712121212122,0.21875,0.030303030303030304,0.3333333333333333,3,6.0,0.0
2025,16038,박지환,10,13.0,0.007008086253369272,0,0,3,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.23076923076923078,0,0.0,0.0
2025,13195,최상민,19,8.0,0.00431266846361186,0,1,4,0.16666666666666666,0.375,0.16666666666666666,0.5416666666666666,0.0,0.125,0.5,5,1.0,1.0
2025,14586,류효승,2,6.0,0.003234501347708895,1,1,3,0.2,0.3333333333333333,0.8,1.1333333333333333,0.6000000000000001,0.16666666666666666,0.5,1,1.0,0.0
2025,15122,임근우,2,5.0,0.0026954177897574125,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0.0
2025,16043,정현승,2,2.0,0.001078167115902965,0,0,0,0.5,0.5,1.0,1.5,0.5,0.0,0.0,0,0.0,0.0
2026,15530,에레디아,61,265.0,0.33417402269861285,10,16,46,0.2644628099173554,0.3169811320754717,0.4214876033057851,0.7384687353812568,0.15702479338842973,0.06037735849056604,0.17358490566037735,27,48.0,1.0
2026,14587,최지훈,60,249.0,0.31399747793190413,9,19,31,0.22321428571428573,0.2862903225806452,0.41517857142857145,0.7014688940092166,0.19196428571428573,0.07630522088353414,0.12449799196787148,38,31.0,8.0
2026,10815,한유섬,25,86.0,0.10844892812105927,0,12,24,0.15492957746478872,0.29069767441860467,0.16901408450704225,0.4597117589256469,0.01408450704225353,0.13953488372093023,0.27906976744186046,6,3.0,1.0
2026,11153,김성욱,32,68.0,0.08575031525851198,1,10,15,0.2909090909090909,0.4117647058823529,0.36363636363636365,0.7754010695187166,0.07272727272727275,0.14705882352941177,0.22058823529411764,12,6.0,1.0
2026,14153,채현우,27,40.0,0.05044136191677175,1,0,11,0.2894736842105263,0.275,0.4473684210526316,0.7223684210526315,0.15789473684210525,0.0,0.275,5,7.0,2.0
2026,13128,최준우,15,36.0,0.04539722572509458,0,7,5,0.3103448275862069,0.4444444444444444,0.3793103448275862,0.8237547892720306,0.06896551724137928,0.19444444444444445,0.1388888888888889,8,0.0,0.0
2026,10249,오태곤,7,18.0,0.02269861286254729,1,1,4,0.4375,0.4444444444444444,0.6875,1.1319444444444444,0.25,0.05555555555555555,0.2222222222222222,4,6.0,2.0
2026,10643,김재환,4,16.0,0.0201765447667087,1,3,6,0.38461538461538464,0.5,0.6153846153846154,1.1153846153846154,0.23076923076923078,0.1875,0.375,3,3.0,0.0
2026,15463,김정민,13,10.0,0.012610340479192938,0,1,3,0.1111111111111111,0.2,0.1111111111111111,0.3111111111111111,0.0,0.1,0.3,1,1.0,0.0
2026,14146,김창평,4,5.0,0.006305170239596469,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0.0
